Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Central Indian Ocean,India - Lakshadweep,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central Indian Ocean,Maldives,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,"Kiribati - Gilbert Islands, Phoenix Islands","Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,Marshall Islands,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,Pitcairn Islands,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,"French Polynesia - Tuamotus, Society Islands","Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,Tokelau,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Central South Pacific,Cook Islands,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Central South Pacific,French Polynesia,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Central South Pacific,Kiribati,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central South Pacific,Tokelau,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central South Pacific,Cook Islands,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central South Pacific,Pitcairn Islands,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central South Pacific,French Polynesia ,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central South Pacific,French Polynesia,Khaled bin Sultan Living Oceans Foundation,Dr. Sam Purkis,Existing map,"We owe a debt of gratitude to the host nations of the Khaled bin Sultan Living Oceans Global Reef Expedition who not only permitted our team to work in their countries, but also provided both logistical and scientific support. We are similarly indebted to the crew of the M/Y Golden Shadow, through the generosity of HRH Prince Khaled bin Sultan, for their inexhaustible help in the field. The project would have been impossible without the 200 scientists who participated in the Global Reef Expedition"
Central South Pacific,French Polynesia - Raiatea ,Te Miti e Te Fenua,Yasmina Moisset ,Existing point data,Reef Check monitoring data
Central South Pacific,"Cook Islands - MuriLagoon, Rarotonga","Secretariat of the Pacific Community (SPC), Applied Geoscience and Technology Division (SOPAC),and the Ministry of Marine Resources, Government of the CookIslands","SPC, SOPAC, Government of the CookIslands",Existing map,"Kruger, J (2011) Cook Islands Muri Lagoon Marine Bethic Habitat Map, Dataset and Photos, Ocean and Islands Programme, Secretariat of the Pacific Community (SPC) Applied Geoscience and Technology Division (SOPAC):  https://pacificdata.org/data/dataset/cook-islands-muri-lagoon-2011-marine-bethic-habitat-map-dataset-photos"
Central South Pacific,"French Polynesia - Aratika, Bora Bora, Mangareva, Marutea sud, Mataiva, Mopelia, Nengo Nengo, Nuku Hiva, Raiatea, Rangiroa, SCilly, Tahiti, Tetiaroa, takapoto, Tikehau, Tubuai
Kiribati - Christmas Island
Pitcairn Islands
Cook Islands - Rarotonga","Service National D’Observation CORAIL (SNO CORAIL), Centre de Recherches Insulaires et Observatoire de l’Environnement (CRIOBE)",Dr. Serge Planes,Existing point data,"Service National d'Observation CORAIL from CRIOBE kindly provided the data 
http://observatoire.criobe.pf/wiki/tiki-index.php?page=Welcome&no_bl=y"
Central South Pacific,French Polynesia,National Geographic Society,Brianna Bambic,New georeferenced phototransects,Ground truth data collected by the National Geographic Society for the Allen Coral Atlas
Central South Pacific,Marshall Islands - Majuro Atoll,National Oceanic and Atmospheric Administration (NOAA),Kendall et al.,Existing map,"Kendall, M.S., T.A. Battista, and C. Menza. 2012. Majuro Atoll, Republic of the Marshall Islands Coral Reef Ecosystems Mapping Report. NOAA National Centers for Coastal Ocean Science, Center for Coastal Monitoring, Biogeography Branch. Silver Spring, Maryland. NOAA Technical Memorandum NOS NCCOS 144. 19 pp.
https://coastalscience.noaa.gov/project/benthic-habitat-mapping-majuro-republic-marshall-islands/"
Central South Pacific,Pitcairn Islands,"National Geographic, Pristine Seas",Dr. Alan Friedlander,Existing point data,"Friedlander, A. M., Caselle, J. E., Ballesteros, E., Brown, E. K., Turchik, A. & Sala, E. (2014). The real bounty: marine biodiversity in the Pitcairn Islands. PloS one, 9(6), e100142. doi:10.1371/journal.pone.0100142"
Central South Pacific,Cook Islands ,"Remote Sensing Research Centre, University of Queensland, Australia",Dr Chris Roelfsema,Existing map,"Sharma, A., Kruger, J., Kumar, S., Roelfsema, C. M., Leiper, I. A., Phinn, S. R., George, N. & Story, R. (2009). Habitat Mapping of Aitutaki, Cook Islands. Pacific Islands GIS & RS News, 19-20."
Central South Pacific,French Polynesia - Mo'orea,"Remote Sensing Research Centre, Univeristy of Queensland, Australia","Dr. Chris Roelfsema, Prof. Stuart Phinn",Existing map,Allen Coral Atlas Partnership
Central South Pacific,French Polynesia - Mo'orea,"GUMP research station, University of California, Santa Barbara (UCSB)","Prof. Peter Edmunds, Dr. Andrew J. Brooks",Existing point data,Funding for Moorea Coral Reef (MCR) data and other materials was provided by the U.S. National Science Foundation under Grant No. OCE 16-37396 (and earlier awards) as well as a generous gift from the Gordon and Betty Moore Foundation. Research was completed under permits issued by the French Polynesian Government (Délégation à la Recherche) and the Haut-commissariat de la République en Polynésie Francaise (DTRT) (Protocole d'Accueil 2005-2018).
Central South Pacific,French Polynesia - Mo'orea,"Service National D’Observation CORAIL (SNO CORAIL), Centre de Recherches Insulaires et Observatoire de l’Environnement (CRIOBE)",Dr. Serge Planes,Existing point data,"Service d'Observation CORAIL from CRIOBE kindly provided the data. We are grateful to Serge Planes (CRIOBE - SO CORAIL), Antoine Collin (LETG), and all technicians (Yannick Chancerelle, Gilles Siu, Benoit Espiau, Franck Lerouvreur and Vetea Liao) from the CRIOBE field station who contributed in performing Moorea's reefs mapping."
Coral Sea,Coral Sea,"Remote Sensing Research Center, University of Queensland","Chris Roelfsema, Emma Kennedy, Alexandra Ordonez-Alvarez, Paul Tudman",New georeferenced phototransects,Ground truth data collected by the UQ mapping team for the Allen Coral Atlas
Coral Sea,Coral Sea,"ARC Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, Australia",Prof. Andrew Hoey,Existing point data,Project: Coral Reef Health in the Coral Sea Marine Park
Coral Sea,Coral Sea,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014)"
Coral Sea,Coral Sea,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Coral Sea,Coral Sea,"Marine Biodiversity Conservation and Sustainable Fisheries
 
Ecologie et Modèles pour l’Halieutique (EMH)
IFREMER",Dominique Pelletier,Existing point data,"Pelletier, D., Selmaoui‐Folcher, N., Bockel, T., & Schohn, T. (2020). A regionally scalable habitat typology for assessing benthic habitats and fish communities: Application to New Caledonia reefs and lagoons. Ecology and Evolution. https://doi.org/10.1002/ece3.6405"
